commit_sha,committer_username,committer_name,committer_email,commit_msg,commit_date
3303a35c33d01cb33944be596dce89cdf397c914,gowthamvasan,Gowtham,None,new programs,2018-03-30 07:34:27
30e2c363d974c7e0d994aee3b4addd032973e798,gowthamvasan,Gowtham,None,deleting for test,2018-03-30 07:34:27
1fc4758ae94f2bbed5673a5606d42865d9f2f152,gowthamvasan,Gowtham,None,test,2018-03-30 07:34:27
7c1c79fd02ad8b7e85787ed6c5d44a3ea3f1386c,bima-gowthamsrinivasan,None,None,adding python learning files,2021-05-03 10:19:31
576211ff91c2c45599739a4cbd12ae8050bfa7a7,gowthamvasan,Gowtham,None,Initial commit,2018-03-30 07:34:27
